cuisine,ingredients,keywords,name,rating,rating_count,recipe_category,recipe_cuisine,recipe_link
African,,,,,,,,https://www.epicurious.com/recipes/food/views/cardamom-sharbat-lemonade
African,,,,,,,,https://www.epicurious.com/recipes/food/views/moroccan-lamb-tagine-with-potatoes-and-peas-lham-bel-btata-wa-jeblana
African,,,,,,,,https://www.epicurious.com/recipes/food/views/north-african-chicken-and-spinach-stew
African,,,,,,,,https://www.epicurious.com/recipes/food/views/moroccan-spiced-chicken-with-millet-tabbouleh
African,,,,,,,,https://www.epicurious.com/recipes/food/views/somali-beef-stew-with-spiced-rice-bariis-maraq
African,,,,,,,,https://www.epicurious.com/recipes/food/views/spiced-moroccan-vegetable-soup-with-chickpeas-cilantro-and-lemon-harira
African,,,,,,,,https://www.epicurious.com/recipes/food/views/marrakech-chicken-stew-with-preserved-lemon-and-olives
African,,,,,,,,https://www.epicurious.com/recipes/food/views/roasted-red-pepper-harissa
African,,,,,,,,https://www.epicurious.com/recipes/food/views/dukkah-crusted-salmon-with-cucumber-and-chilli-salad
African,,,,,,,,https://www.epicurious.com/recipes/food/views/harissa-crusted-swordfish
African,,,,,,,,https://www.epicurious.com/recipes/food/views/mashed-yam-and-plantain
African,,,,,,,,https://www.epicurious.com/recipes/food/views/kiwi-ice-pop
African,,,,,,,,https://www.epicurious.com/recipes/food/views/african-jollof-rice
African,,,,,,,,https://www.epicurious.com/recipes/food/views/blender-chermoula-sauce
African,,,,,,,,https://www.epicurious.com/recipes/food/views/stuffed-dates-51173800
African,,,,,,,,https://www.epicurious.com/recipes/food/views/phyllo-triangles-stuffed-with-fresh-cheese-em-briouats-bil-jben-em-51173810
African,,,,,,,,https://www.epicurious.com/recipes/food/views/harira-51174000
African,,,,,,,,https://www.epicurious.com/recipes/food/views/chilled-cucumber-and-orange-juice-with-oregano-51173620
African,,,,,,,,https://www.epicurious.com/recipes/food/views/senegalese-chicken-with-black-eyed-peas-and-avocado-zucchini-relish-369275
African,,,,,,,,https://www.epicurious.com/recipes/food/views/braised-chicken-with-dates-and-moroccan-spices-361592
African,,,,,,,,https://www.epicurious.com/recipes/food/views/mhanncha-snake-cake-361411
African,,,,,,,,https://www.epicurious.com/recipes/food/views/moroccan-beet-leaf-or-swiss-chard-salad-em-salade-de-blettes-em-360489
African,,,,,,,,https://www.epicurious.com/recipes/food/views/harissa-marinated-top-sirloin-tips-359335
African,,,,,,,,https://www.epicurious.com/recipes/food/views/pecan-coated-roast-loin-of-pork-236919
African,,,,,,,,https://www.epicurious.com/recipes/food/views/moroccan-carrot-soup-357911
African,,,,,,,,https://www.epicurious.com/recipes/food/views/roasted-leg-of-lamb-with-north-african-spices-lemon-and-onions-355937
African,,,,,,,,https://www.epicurious.com/recipes/food/views/black-eyed-pea-fritters-with-hot-pepper-sauce-352350
African,,,,,,,,https://www.epicurious.com/recipes/food/views/african-curried-coconut-soup-with-chickpeas-352349
African,,,,,,,,https://www.epicurious.com/recipes/food/views/moroccan-chicken-with-green-olives-and-lemon-352532
African,,,,,,,,https://www.epicurious.com/recipes/food/views/algerian-flatbread-241505
