link,name,ingredients,recipe_category,recipe_cuisine,rating,rating_count,keywords
https://www.epicurious.com/recipes/food/views/brown-sugar-fudge-108365,Brown Sugar Fudge ,"1/2 cup plus 2 tablespoons evaporated milk $ 2 cups packed light brown sugar (14 ounces) $ 1 1/2 sticks (12 tablespoons) unsalted butter, cut into tablespoons $ 1/4 teaspoon salt $ 1/2 teaspoon vanilla extract $ 1 3/4 cups confectioners' sugar $ Special equipment: a candy thermometer $ ",Candy $ Milk/Cream $ Dessert $ Christmas $ Vanilla $ Summer $ Winter $ Edible Gift $ Candy Thermometer $ Gourmet $ Kidney Friendly $ Vegetarian $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ ,American $ ,3.5/4,34,Candy $ Milk/Cream $ Dessert $ Christmas $ Vanilla $ Summer $ Winter $ Edible Gift $ Candy Thermometer $ Gourmet $ Kidney Friendly $ Vegetarian $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ American $ 
https://www.epicurious.com/recipes/food/views/pear-and-pumpkin-pie-13291,Pear and Pumpkin Pie ,"1 tablespoon whole allspice berries $ 1/2 vanilla bean, split lengthwise $ 1 tablespoon freshly grated lemon zest (from about 2 lemons) $ 4 cups dry red wine $ 2 cups water $ 1 cup sugar $ 3 firm-ripe pears such as Bosc $ pastry dough for a single crust 9-inch pie $ an egg wash made by beating 1 large egg yolk with 1 teaspoon water $ 3 large eggs $ 3/4 cup heavy cream $ 1 1/2 cups canned solid-pack pumpkin $ 1/2 cup firmly packed light brown sugar $ 2 teaspoons cinnamon $ 1 teaspoon ground ginger $ 3/4 teaspoon salt $ 1 teaspoon ground allspice $ 1/8 teaspoon freshly grated nutmeg $ 1/4 cup apricot jam, heated and strained $ Accompaniment:ginger crème anglaise $ ",Dessert $ Bake $ Poach $ Thanksgiving $ Pear $ Apricot $ Pumpkin $ Chill $ Gourmet $ ,American $ ,3.5/4,8,Dessert $ Bake $ Poach $ Thanksgiving $ Pear $ Apricot $ Pumpkin $ Chill $ Gourmet $ American $ 
https://www.epicurious.com/recipes/food/views/onion-and-spinach-dip-107577,Onion and Spinach Dip ,"3 tablespoons extra-virgin olive oil $ 1 large onion, chopped (1 3/4 cups) $ 1/2 lb shallots, chopped $ 1/2 lb baby spinach, coarsely chopped $ 3 ounce cream cheese, softened $ 1 (16-ounce) container sour cream $ 1/2 teaspoon salt $ 1/4 teaspoon black pepper $ ",Condiment/Spread $ Dairy $ Leafy Green $ Onion $ Super Bowl $ Vegetarian $ Quick & Easy $ Wedding $ Spinach $ Winter $ Gourmet $ ,American $ ,2.5/4,23,Condiment/Spread $ Dairy $ Leafy Green $ Onion $ Super Bowl $ Vegetarian $ Quick & Easy $ Wedding $ Spinach $ Winter $ Gourmet $ American $ 
https://www.epicurious.com/recipes/food/views/michaels-chocolate-obsession-107718,Michael's Chocolate Obsession ,"Nonstick vegetable oil spray $ 8 ounces bittersweet (not unsweetened) or semisweet chocolate, chopped $ 5 tablespoons unsalted butter $ 1 tablespoon grated orange peel $ 3 large eggs $ Pinch of salt $ Powdered sugar $ ",Cake $ Mixer $ Chocolate $ Egg $ Dessert $ Bake $ Christmas $ Valentine's Day $ Orange $ Winter $ Bon Appétit $ ,American $ ,3.5/4,10,Cake $ Mixer $ Chocolate $ Egg $ Dessert $ Bake $ Christmas $ Valentine's Day $ Orange $ Winter $ Bon Appétit $ American $ 
https://www.epicurious.com/recipes/food/views/chocolate-heart-layer-cake-with-chocolate-cinnamon-mousse-107716,Chocolate Heart Layer Cake with Chocolate-Cinnamon Mousse ,"4 tablespoons unsalted butter, melted $ 1/3 cup all purpose flour $ 1/3 cup unsweetened cocoa powder $ 1/4 teaspoon salt $ 4 large eggs $ 3/4 cup sugar $ 1 cup heavy whipping cream $ 4 cinnamon sticks, broken in half $ 2/3 cup cherry jam $ 2 tablespoons kirsch (clear cherry brandy) $ 4 ounces bittersweet (not unsweetened) or semisweet chocolate, finely chopped $ 1/2 cup heavy whipping cream $ 1/4 cup water $ 2 tablespoons light corn syrup $ 1 teaspoon chai-spiced tea leaves or Lapsang souchong smoked black tea leaves (from 1 tea bag) $ 5 ounces bittersweet (not unsweetened) or semisweet chocolate, coarsely chopped $ ",Cake $ Chocolate $ Dessert $ Bake $ Freeze/Chill $ Valentine's Day $ Winter $ Chill $ Simmer $ Bon Appétit $ ,American $ ,3.5/4,34,Cake $ Chocolate $ Dessert $ Bake $ Freeze/Chill $ Valentine's Day $ Winter $ Chill $ Simmer $ Bon Appétit $ American $ 
https://www.epicurious.com/recipes/food/views/brownies-108700,Brownies ,"2 sticks (1 cup) unsalted butter $ 8 ounces fine-quality bittersweet chocolate (not unsweetened), coarsely chopped $ 1 1/4 cups all-purpose flour $ 1 teaspoon baking powder $ 1/2 teaspoon salt $ 2 cups sugar $ 4 large eggs $ 2 teaspoons vanilla $ 5 ounces walnut pieces, coarsely chopped (1 1/2 cups) $ ",Chocolate $ Dessert $ Bake $ Fourth of July $ Kid-Friendly $ Back to School $ Walnut $ Fall $ Gourmet $ Kidney Friendly $ Vegetarian $ Pescatarian $ Peanut Free $ Soy Free $ Kosher $ ,American $ ,3.5/4,119,Chocolate $ Dessert $ Bake $ Fourth of July $ Kid-Friendly $ Back to School $ Walnut $ Fall $ Gourmet $ Kidney Friendly $ Vegetarian $ Pescatarian $ Peanut Free $ Soy Free $ Kosher $ American $ 
https://www.epicurious.com/recipes/food/views/herbed-bread-stuffing-102580,Herbed Bread Stuffing ,"10 cups (1-inch) cubes crusty country-style bread (1 lb) $ 3 medium onions, chopped $ 3 celery ribs, thinly sliced crosswise $ 1 teaspoon dried thyme $ 1/2 teaspoon dried sage $ 1/2 teaspoon dried rosemary $ 1 stick unsalted butter $ 1 1/2 cups chicken broth $ 1/2 cup water $ ",Herb $ Side $ Bake $ Thanksgiving $ Fall $ Gourmet $ ,American $ ,3.5/4,76,Herb $ Side $ Bake $ Thanksgiving $ Fall $ Gourmet $ American $ 
https://www.epicurious.com/recipes/food/views/creamed-mushrooms-onions-and-brussels-sprouts-108828,"Creamed Mushrooms, Onions, and Brussels Sprouts ","5 tablespoons butter $ 1 pound oyster mushrooms, cut into 1-inch-wide pieces $ 15 ounces frozen whole petite onions (about 2 1/2 cups; do not thaw) $ 1 pound small brussels sprouts (about 4 cups), trimmed, halved $ 2 1/2 cups low-salt chicken broth $ 2 garlic cloves, minced $ 1 1/2 tablespoons chopped fresh thyme $ 1 1/2 tablespoons all purpose flour $ 2/3 cup whipping cream $ 1 cup fresh breadcrumbs made from crustless French bread $ 1/2 cup freshly grated Parmesan cheese $ ",Milk/Cream $ Mushroom $ Onion $ Vegetable $ Sauté $ Thanksgiving $ Casserole/Gratin $ Parmesan $ Fall $ Brussels Sprout $ Bon Appétit $ ,American $ ,3.5/4,19,Milk/Cream $ Mushroom $ Onion $ Vegetable $ Sauté $ Thanksgiving $ Casserole/Gratin $ Parmesan $ Fall $ Brussels Sprout $ Bon Appétit $ American $ 
https://www.epicurious.com/recipes/food/views/cranberry-tangerine-and-crystallized-ginger-relish-107325,"Cranberry, Tangerine, and Crystallized-Ginger Relish ","1 12-ounce bag cranberries $ 1 6-ounce tangerine (unpeeled), halved, seeded, cut into 1-inch pieces $ 3/4 cup sugar $ 1/2 cup coarsely chopped crystallized ginger (about 2 1/2 ounces) $ 1/4 cup orange marmalade $ ",Condiment/Spread $ Sauce $ Food Processor $ Berry $ Citrus $ Ginger $ No-Cook $ Thanksgiving $ Fall $ Bon Appétit $ ,American $ ,3.5/4,22,Condiment/Spread $ Sauce $ Food Processor $ Berry $ Citrus $ Ginger $ No-Cook $ Thanksgiving $ Fall $ Bon Appétit $ American $ 
https://www.epicurious.com/recipes/food/views/skillet-chicken-and-vegetables-106116,Skillet Chicken and Vegetables ,"4 chicken thighs with skin and bone $ 1 tablespoon paprika $ 2 tablespoons vegetable oil $ 3/4 pound small red-skinned potatoes, halved $ 8 boiling onions, peeled $ 2 large carrots, peeled, cut into 1-inch pieces $ 1 tablespoon all purpose flour $ 1 cup canned low-salt chicken broth $ 1/2 cup dry white wine $ Chopped fresh parsley $ ",Chicken $ Onion $ Potato $ Poultry $ Vegetable $ Sauté $ Wheat/Gluten-Free $ Dinner $ Carrot $ Fall $ Winter $ Bon Appétit $ Dairy Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ Diabetes-Friendly $ ,American $ ,3/4,88,Chicken $ Onion $ Potato $ Poultry $ Vegetable $ Sauté $ Wheat/Gluten-Free $ Dinner $ Carrot $ Fall $ Winter $ Bon Appétit $ Dairy Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ Diabetes-Friendly $ American $ 
