link,name,ingredients,recipe_category,recipe_cuisine,rating,rating_count,keywords
https://www.epicurious.com/recipes/food/views/roast-chicken-with-potatoes-by-the-wall-104720,"Roast Chicken with Potatoes ""by the Wall"" ","6 tablespoons olive oil $ 3 large garlic cloves, minced $ 3 teaspoons dried oregano $ 2 1/4 pounds white-skinned potatoes, peeled, each cut into 6 long wedges $ 1 4-pound chicken, cut into 8 pieces $ 3 tablespoons fresh lemon juice $ ",Chicken $ Herb $ Potato $ Poultry $ Roast $ Kid-Friendly $ Dinner $ Lemon $ Root Vegetable $ Winter $ Oregano $ Bon Appétit $ Los Angeles $ California $ Sugar Conscious $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Kosher $ ,American $ ,3.5/4,15,Chicken $ Herb $ Potato $ Poultry $ Roast $ Kid-Friendly $ Dinner $ Lemon $ Root Vegetable $ Winter $ Oregano $ Bon Appétit $ Los Angeles $ California $ Sugar Conscious $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Kosher $ American $ 
https://www.epicurious.com/recipes/food/views/pasta-jambalaya-104329,Pasta Jambalaya ,"4 tablespoons olive oil $ 1 pound andouille sausages or other fully cooked smoked spicy sausages (such as Louisiana hot links), halved lengthwise, then thinly sliced crosswise $ 1 medium onion, chopped $ 1 large green bell pepper, chopped $ 5 green onions, thinly sliced $ 1 celery stalk, chopped $ 5 garlic cloves, chopped $ 2 bay leaves $ 2 teaspoons dried oregano $ 3/4 teaspoon ground cumin $ 1/4 teaspoon cayenne pepper $ 1/4 teaspoon ground allspice $ 1 28-ounce can crushed tomatoes with added puree $ 1 141/2-ounce can diced tomatoes in juice $ 1 teaspoon Worcestershire sauce $ 1/2 teaspoon hot pepper sauce $ 1 pound farfalle (bow-tie) pasta $ 1 1/2 pounds uncooked large shrimp, peeled, deveined $ Freshly grated Parmesan cheese $ ",Garlic $ Onion $ Pasta $ Tomato $ Sausage $ Shrimp $ Winter $ Bon Appétit $ ,American $ Cajun/Creole $ ,3/4,24,Garlic $ Onion $ Pasta $ Tomato $ Sausage $ Shrimp $ Winter $ Bon Appétit $ American $ Cajun/Creole $ 
https://www.epicurious.com/recipes/food/views/pears-poached-in-port-with-cranberries-104440,Pears Poached in Port with Cranberries ,"8 whole allspice $ 1 tablespoon pink peppercorns $ 1 (2-inch) piece fresh ginger, cut crosswise into 1/4-inch-thick slices $ 1 (2-inch) cinnamon stick $ 1 (4- by 1-inch) strip of zest from a navel orange, removed with a vegetable peeler $ 3 cups cranberry juice cocktail $ 2 cups Tawny Port $ 1/2 cup dried cranberries $ 1/2 cup sugar $ 4 firm-ripe Bosc or Anjou pears with stems $ an 8-inch square of cheesecloth $ ",Fruit Juice $ Berry $ Dessert $ Christmas $ Cranberry $ Pear $ Port $ Winter $ Vegan $ Gourmet $ Kidney Friendly $ Vegetarian $ Pescatarian $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ ,American $ ,4/4,4,Fruit Juice $ Berry $ Dessert $ Christmas $ Cranberry $ Pear $ Port $ Winter $ Vegan $ Gourmet $ Kidney Friendly $ Vegetarian $ Pescatarian $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ American $ 
https://www.epicurious.com/recipes/food/views/strawberry-and-peach-parfaits-with-maple-granola-103527,Strawberry and Peach Parfaits with Maple Granola ,"1 1/2 cups old-fashioned oats $ 1/4 cup almonds, coarsely chopped $ 1/4 cup plus 3 tablespoons pure maple syrup $ 1 1/2 teaspoons unsalted butter $ 1/3 cup raisins $ 3 cups sliced hulled strawberries (about 1 1/2 one-pint baskets) $ 3 cups thinly sliced pitted peeled peaches (about 6 medium) $ Nonfat vanilla frozen yogurt (optional) $ ",Dairy $ Fruit $ Nut $ Brunch $ Dessert $ Bake $ Kid-Friendly $ Yogurt $ Strawberry $ Peach $ Almond $ Oat $ Bon Appétit $ Vegetarian $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Soy Free $ Kosher $ ,American $ ,2.5/4,1,Dairy $ Fruit $ Nut $ Brunch $ Dessert $ Bake $ Kid-Friendly $ Yogurt $ Strawberry $ Peach $ Almond $ Oat $ Bon Appétit $ Vegetarian $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Soy Free $ Kosher $ American $ 
https://www.epicurious.com/recipes/food/views/smoky-sage-and-giblet-gravy-103233,Smoky Sage and Giblet Gravy ,"Neck, gizzard, heart, wing tips and liver reserved from 1 turkey $ 2 1/2 cups canned low-salt chicken broth $ 1/2 cup dry vermouth or white wine $ 1 medium carrot, peeled, sliced $ 1 small onion, sliced $ 4 ounces crimini mushrooms, sliced $ 12 large fresh sage leaves $ 1/2 teaspoon black peppercorns $ Roasting pan and pan juices from 1 roasted turkey $ 8 bacon slices (about 7 ounces) $ 6 tablespoons all purpose flour $ 3 tablespoons dry vermouth or white wine $ 2 tablespoons chopped fresh sage $ ",Sauce $ Mushroom $ Onion $ turkey $ Sauté $ Thanksgiving $ Bacon $ Carrot $ White Wine $ Fall $ Sage $ Simmer $ Bon Appétit $ ,American $ ,4/4,4,Sauce $ Mushroom $ Onion $ turkey $ Sauté $ Thanksgiving $ Bacon $ Carrot $ White Wine $ Fall $ Sage $ Simmer $ Bon Appétit $ American $ 
https://www.epicurious.com/recipes/food/views/spicy-shrimp-salad-103493,Spicy Shrimp Salad ,"1 pound uncooked medium shrimp, peeled, deveined $ 1/4 cup mayonnaise $ 1 1/2 teaspoons Old Bay seasoning $ 1 small red bell pepper, chopped $ 1 small yellow bell pepper, chopped $ 1/2 cup chopped green onions $ 1/2 cup chopped celery $ Radicchio or butter lettuce leaves $ ",Salad $ Onion $ Pepper $ Shellfish $ Quick & Easy $ Lunch $ Mayonnaise $ Shrimp $ Summer $ Bon Appétit $ Miami $ Florida $ Sugar Conscious $ Pescatarian $ Paleo $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ ,American $ ,3.5/4,19,Salad $ Onion $ Pepper $ Shellfish $ Quick & Easy $ Lunch $ Mayonnaise $ Shrimp $ Summer $ Bon Appétit $ Miami $ Florida $ Sugar Conscious $ Pescatarian $ Paleo $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ American $ 
https://www.epicurious.com/recipes/food/views/spiced-apple-pie-with-raisins-104530,Spiced Apple Pie with Raisins ,"3 cups all purpose flour $ 2 tablespoons sugar $ 1 1/4 teaspoons salt $ 3/4 cup chilled solid vegetable shortening, diced $ 9 tablespoons chilled unsalted butter, diced $ 7 tablespoons (about) ice water $ 2 1/2 teaspoons apple cider vinegar $ 4 pounds Granny Smith apples, peeled, cored, cut into 1/2-inch cubes $ 3/4 cup sugar $ 1/2 cup golden raisins $ 3 tablespoons all purpose flour $ 2 tablespoons minced crystallized ginger $ 2 tablespoons (packed) dark brown sugar $ 2 teaspoons ground cinnamon $ 1/4 cup (1/2 stick) unsalted butter, melted $ ",Food Processor $ Fruit $ Ginger $ Dessert $ Bake $ Christmas $ Thanksgiving $ Dried Fruit $ Raisin $ Apple $ Spice $ Winter $ Bon Appétit $ Vegetarian $ Pescatarian $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ ,American $ ,3.5/4,3,Food Processor $ Fruit $ Ginger $ Dessert $ Bake $ Christmas $ Thanksgiving $ Dried Fruit $ Raisin $ Apple $ Spice $ Winter $ Bon Appétit $ Vegetarian $ Pescatarian $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ American $ 
https://www.epicurious.com/recipes/food/views/white-chocolate-and-strawberry-cheesecake-103290,White Chocolate and Strawberry Cheesecake ,"1 9-ounce package chocolate wafer cookies, broken into pieces $ 1/2 cup (1 stick) unsalted butter, melted $ 1 pound good-quality white chocolate (such as Lindt or Baker’s), finely chopped $ 4 8-ounce packages cream cheese, room temperature $ 1 cup sugar $ 1/4 teaspoon salt $ 4 large eggs $ 1 cup sour cream $ 1/2 cup whipping cream $ 2 tablespoons vanilla extract $ 3 1-pint baskets strawberries, hulled, halved $ 1/2 cup apricot preserves $ 2 tablespoons brandy $ ",Cake $ Mixer $ Berry $ Chocolate $ Dairy $ Fruit $ Dessert $ Bake $ Fourth of July $ Cream Cheese $ Summer $ Double Boiler $ Bon Appétit $ Vegetarian $ Pescatarian $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ ,American $ ,4/4,204,Cake $ Mixer $ Berry $ Chocolate $ Dairy $ Fruit $ Dessert $ Bake $ Fourth of July $ Cream Cheese $ Summer $ Double Boiler $ Bon Appétit $ Vegetarian $ Pescatarian $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ American $ 
https://www.epicurious.com/recipes/food/views/spice-rubbed-chicken-breasts-with-lemon-shallot-sauce-106642,Spice-Rubbed Chicken Breasts with Lemon-Shallot Sauce ,1 teaspoon salt $ 1 teaspoon ground black pepper $ 3/4 teaspoon ground allspice $ 8 skinless boneless chicken breast halves $ 8 tablespoons olive oil $ 1/2 cup dry white wine $ 1 cup canned low-salt chicken broth $ 3 tablespoons fresh lemon juice $ 2 teaspoons grated lemon peel $ 2 tablespoons minced shallots $ 1 teaspoon chopped fresh thyme $ 4 tablespoons chopped fresh parsley $ ,Chicken $ Citrus $ Poultry $ Sauté $ Low Carb $ Quick & Easy $ Lunch $ White Wine $ Summer $ Thyme $ Shallot $ Bon Appétit $ Sugar Conscious $ Paleo $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ ,American $ ,3/4,67,Chicken $ Citrus $ Poultry $ Sauté $ Low Carb $ Quick & Easy $ Lunch $ White Wine $ Summer $ Thyme $ Shallot $ Bon Appétit $ Sugar Conscious $ Paleo $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ American $ 
https://www.epicurious.com/recipes/food/views/five-spice-apple-quince-pie-109093,Five-Spice Apple Quince Pie ,"2 cups all purpose flour $ 1/2 teaspoon salt $ 1 cup (2 sticks) chilled unsalted butter, cut into 1/2-inch cubes $ 6 tablespoons (or more) ice water $ 3 3/4 pounds Golden Delicious apples, peeled, halved, cored, thinly sliced $ 2 1/4 pounds quinces, peeled, halved, cored, thinly sliced $ 1 cup sugar $ 1/2 cup apple cider $ 1 teaspoon fresh lemon juice $ 2 tablespoons all purpose flour $ 1/2 teaspoon ground cinnamon $ 1/2 teaspoon Chinese five-spice powder* $ 2 tablespoons (1/4 stick) chilled unsalted butter, diced $ 1 tablespoon sugar blended with 2 teaspoons whole milk (for glaze) $ Vanilla ice cream $ ",Milk/Cream $ Fruit $ Dessert $ Bake $ Lemon $ Apple $ Quince $ Spring $ Winter $ Birthday $ Cinnamon $ Bon Appétit $ ,American $ ,3.5/4,3,Milk/Cream $ Fruit $ Dessert $ Bake $ Lemon $ Apple $ Quince $ Spring $ Winter $ Birthday $ Cinnamon $ Bon Appétit $ American $ 
